submitter_id	data_category	md5sum	file_size	file_name	core_metadata_collections.submitter_id	data_format	data_type	object_id	type
DS06_T_c2e3	Tract	8ef03b2189c6119f98b87ee84dc611b1	1428734	DS06_T.csv	demographic_tract70	CSV	Geographic Data	dg.6VTS/7e45aa0a-c6ae-4eb4-9641-fd1457bac2e3	reference_file
DS06_Z_170b	Zip	ee9dee5c6289b76fd6069b8880edc635	447591	DS06_Z.csv	demographic_zip71	CSV	Geographic Data	dg.6VTS/02b17267-bdd3-4207-ae11-40c7048a170b	reference_file
EC01_C_6b3f	County	80fdbc6df1a896e70ad6113ebce971c6	135635	EC01_C.csv	economic_county73	CSV	Geographic Data	dg.6VTS/c5026715-2196-4bf8-bf39-5c8d921d6b3f	reference_file
EC01_S_8df7	State	94d6e26f63c082882b3233469eb62069	2103	EC01_S.csv	economic_state72	CSV	Geographic Data	dg.6VTS/c9c2d949-1193-4fcd-a45e-b1589d788df7	reference_file
EC01_T_3026	Tract	366e613cda130156b45cd1d882bf0a9f	3419830	EC01_T.csv	economic_tract74	CSV	Geographic Data	dg.6VTS/9ea82b12-31bc-4036-b15b-7274edf83026	reference_file
EC01_Z_a73d	Zip	192aea46274ca6ed63b51258d57662b3	1330555	EC01_Z.csv	economic_zip75	CSV	Geographic Data	dg.6VTS/d9ff8b78-8258-4fe1-b524-1a4a7e28a73d	reference_file
EC02_C_5f8c	County	dff071d95db7ff78492ff1ff25c6bacb	105603	EC02_C.csv	covid_county127	CSV	Geographic Data	dg.6VTS/833da028-7670-4a53-ae77-7cd544325f8c	reference_file
EC02_S_fb4c	State	1bd8801107c72291f0664c180a17a246	1603	EC02_S.csv	covid_state126	CSV	Geographic Data	dg.6VTS/7659b4ba-91a5-49e4-b421-57c8ed67fb4c	reference_file
EC02_T_a315	Tract	524e8999514b41281924980df5acfbd9	2705592	EC02_T.csv	covid_tract128	CSV	Geographic Data	dg.6VTS/0b4662da-2105-45e5-9979-98cfef52a315	reference_file
EC02_Z_b0fc	Zip	73de3b4ac7829b9dd9b8e5ffe086e135	1012605	EC02_Z.csv	covid_zip129	CSV	Geographic Data	dg.6VTS/4d67c439-5963-4823-8a4d-af5a5c8db0fc	reference_file
EC03_C_19cb	County	c11b8fefd0692d4dddbfaefb4dbc1d6b	93043	EC03_C.csv	"economic_county77,economic_county81,economic_county85"	CSV	Geographic Data	dg.6VTS/0e12421d-0051-44b8-ad3f-2407666019cb	reference_file
EC03_S_1dee	State	a797d10d2d5c03130bb1d44e92cf3d2b	1277	EC03_S.csv	"economic_state76,economic_state80,economic_state84"	CSV	Geographic Data	dg.6VTS/10206f63-0267-40b6-bec0-bf7ce2a71dee	reference_file
EC03_T_ed26	Tract	ad04308ccf1af745020f2fe9c2ed175e	2527764	EC03_T.csv	"economic_tract78,economic_tract82,economic_tract86"	CSV	Geographic Data	dg.6VTS/0aff1f9a-d184-4b2d-9160-e29e0c94ed26	reference_file
EC03_Z_3e0d	Zip	f40eac11de19879f5298f1b596ff5cd2	942567	EC03_Z.csv	"economic_zip79,economic_zip83,economic_zip87"	CSV	Geographic Data	dg.6VTS/6a5529a9-06ff-49eb-92f8-2e2c0a633e0d	reference_file
EC04_C_b545	County	53a3642ed76c4d2dd20da3dd00a8b586	97656	EC04_C.csv	economic_county89	CSV	Geographic Data	dg.6VTS/70a1a1b4-86ce-46df-93d5-b8085aa7b545	reference_file
EC04_S_bf82	State	06eeba0b01a78ca38d9cf3a0ee890908	666	EC04_S.csv	economic_state88	CSV	Geographic Data	dg.6VTS/9c2283c0-dafd-4555-8011-f70ebd8fbf82	reference_file
EC04_T_e3ff	Tract	fabd1d465108063be7aa3bf09d9774a4	9693901	EC04_T.csv	economic_tract90	CSV	Geographic Data	dg.6VTS/de6f8fec-b596-4733-b5ef-a276ecc4e3ff	reference_file
counties2018_d34b	County	9155698962a1d0b55ecd968064ef40d5	983671	counties2018.dbf	geographicboundaries_county1	SHAPEFILE	Geographic Boundaries	dg.6VTS/ddb8964a-0e1b-4586-a64c-ff386ff3d34b	reference_file
counties2018_1532	County	e729936bf5360b37a15365fc295a1901	143	counties2018.prj	geographicboundaries_county1	SHAPEFILE	Geographic Boundaries	dg.6VTS/e498c4ef-fe0a-420f-bb2a-85a764641532	reference_file
counties2018_d172	County	1ffc2a5f5dacb1084d1fad4614d1e34d	16514608	counties2018.shp	geographicboundaries_county1	SHAPEFILE	Geographic Boundaries	dg.6VTS/acee9f08-508e-4101-a539-fb112218d172	reference_file
counties2018_52ed	County	af9492c828c2d464258bb64735e0321d	25236	counties2018.shx	geographicboundaries_county1	SHAPEFILE	Geographic Boundaries	dg.6VTS/32dca318-cb00-4acf-ae63-f02c87f152ed	reference_file
states2018_3080	State	a1023f1dcf55a97f298821f48a73e84c	35148	states2018.dbf	geographicboundaries_state0	SHAPEFILE	Geographic Boundaries	dg.6VTS/2e3eece9-25cd-4a6e-a971-9fa8b2af3080	reference_file
states2018_a82f	State	e729936bf5360b37a15365fc295a1901	143	states2018.prj	geographicboundaries_state0	SHAPEFILE	Geographic Boundaries	dg.6VTS/c00cb757-25fd-4175-b2db-93099b54a82f	reference_file
states2018_57c9	State	5f661e95f87d37bebba28660d918402e	4577908	states2018.shp	geographicboundaries_state0	SHAPEFILE	Geographic Boundaries	dg.6VTS/bc3324d7-402e-4c7d-9893-3bc3f8f357c9	reference_file
states2018_ffc7	State	3dc5472da40ae618d7e4cb616b2af921	508	states2018.shx	geographicboundaries_state0	SHAPEFILE	Geographic Boundaries	dg.6VTS/25a069a2-1171-4f04-8ab3-bbb7935bffc7	reference_file
tracts2018_2922	Tract	7e4a02bcf20e5e5502f16fedee532911	44358055	tracts2018.dbf	geographicboundaries_tract2	SHAPEFILE	Geographic Boundaries	dg.6VTS/73f9e274-c5f7-4cfa-99fd-0e6179bd2922	reference_file
tracts2018_0b99	Tract	e729936bf5360b37a15365fc295a1901	143	tracts2018.prj	geographicboundaries_tract2	SHAPEFILE	Geographic Boundaries	dg.6VTS/0ad952a2-d18f-48aa-8d9c-89b2ea5c0b99	reference_file
tracts2018_f623	Tract	74f5176faf0bb3312ed147dc6a51aa19	75077760	tracts2018.shp	geographicboundaries_tract2	SHAPEFILE	Geographic Boundaries	dg.6VTS/d8db4de0-e17d-4d8d-b02d-5a4a907ff623	reference_file
tracts2018_8ac2	Tract	9253160733169cf8d1faa5a8891789cf	582796	tracts2018.shx	geographicboundaries_tract2	SHAPEFILE	Geographic Boundaries	dg.6VTS/c67c15ce-2a49-4c00-a0b3-42fd11da8ac2	reference_file
zctas2018_943a	Zip	f1d4081d5338beff6c66ef5988aefb79	9534304	zctas2018.dbf	geographicboundaries_zip3	SHAPEFILE	Geographic Boundaries	dg.6VTS/9960d5f6-8ebb-40a6-bfb6-9e2b7763943a	reference_file
zctas2018_0d6d	Zip	e729936bf5360b37a15365fc295a1901	143	zctas2018.prj	geographicboundaries_zip3	SHAPEFILE	Geographic Boundaries	dg.6VTS/b55565b8-5019-4376-9078-14c18bae0d6d	reference_file
zctas2018_ca69	Zip	ceb3a3e49192a58b49b0859ebdbbbc57	90658908	zctas2018.shp	geographicboundaries_zip3	SHAPEFILE	Geographic Boundaries	dg.6VTS/2e08cf62-f4c9-4f77-ab35-b41dd453ca69	reference_file
zctas2018_a2b9	Zip	9b4ccea3a099e39fe506fef3341e5cde	264020	zctas2018.shx	geographicboundaries_zip3	SHAPEFILE	Geographic Boundaries	dg.6VTS/f9d2d7f2-f15c-4740-9a86-de057792a2b9	reference_file
Health01_C_4366	County	e189269a146ecfb8bc0863e97e44d5fc	148182	Health01_C.csv	health_county19	CSV	Geographic Data	dg.6VTS/f736ed1e-f97f-4544-ab8a-69dbf29f4366	reference_file
Health01_S_f11f	State	5f5a7dd4376b0eae8c0798bbd6baaeb3	1670	Health01_S.csv	health_state18	CSV	Geographic Data	dg.6VTS/37f21a8c-3629-49c8-be81-2f8d797af11f	reference_file
Health02_C_Mortality_685e	County	9a5f9c983b63ba578e80c66726be7855	345219	Health02_C_Mortality.csv	health_county21	CSV	Geographic Data	dg.6VTS/d486b6f1-96aa-4ce8-9d5f-98cc2af2685e	reference_file
Health02_S_Mortality_e9c3	State	d577680e6aeb532243ca1e0348b4371b	16490	Health02_S_Mortality.csv	health_state20	CSV	Geographic Data	dg.6VTS/94987b54-a13b-4242-a99d-aec7f08ee9c3	reference_file
Health02_S_Prevalence_4f4f	State	abea2346f6b8f4331536936928ceb197	5151	Health02_S_Prevalence.csv	health_state20	CSV	Geographic Data	dg.6VTS/764b73e6-0d0f-41ce-849c-4e5094d24f4f	reference_file
Health03_C_6774	County	89445d5004708e38873c0779f6d2f624	39145	Health03_C.csv	health_county23	CSV	Geographic Data	dg.6VTS/c3777745-dfb2-4fe5-b2e5-a9186ac96774	reference_file
Health03_S_8009	State	6598397c30be155638c527e6ebcd319f	748	Health03_S.csv	health_state24	CSV	Geographic Data	dg.6VTS/16403177-5f73-4f6b-a5b5-bbd4ea208009	reference_file
Health03_T_4b7c	Tract	a321e78440c0f5050e41999d0218f3a4	1768906	Health03_T.csv	health_tract22	CSV	Geographic Data	dg.6VTS/c506a384-ce65-48a3-aa93-3d9163e54b7c	reference_file
us-wide-moudsCleaned_823d	Location	b23b2891b485cb6ceb017a6188440457	3090967	us-wide-moudsCleaned.csv	health_locations	CSV	Geographic Data	dg.6VTS/de47c394-81f7-4a07-a730-7f930e3a823d	reference_file
PS01_2016_C_3c5a	County	12cd28566de12d16b14ff44c242748f5	453718	PS01_2016_C.csv	policy_county7	CSV	Geographic Data	dg.6VTS/9d201da2-f474-45fe-9b62-b67cba973c5a	reference_file
PS02_2017_C_050a	County	002270fe967f0424b3db686cd1abab62	476589	PS02_2017_C.csv	policy_county8	CSV	Geographic Data	dg.6VTS/9a712179-c2fd-44aa-ac0b-9f6115ad050a	reference_file
PS03_2017_S_faf4	State	5643f2eb868e1ee6fcf41cea96f65483	3846	PS03_2017_S.csv	policy_state9	CSV	Geographic Data	dg.6VTS/dce34f93-5bb8-4e8e-8263-44e25a75faf4	reference_file
PS04_2018_S_e0b5	State	356f8f29ba756e7402427772dfea3424	1588	PS04_2018_S.csv	policy_state10	CSV	Geographic Data	dg.6VTS/e3bf876d-5571-4f39-a6b5-7fbc0e32e0b5	reference_file
PS05_2017_S_58fa	State	5f1947055adb5b724c38ede372d81773	2362	PS05_2017_S.csv	policy_state11	CSV	Geographic Data	dg.6VTS/0ba81dcc-3f82-4156-8f86-0789305f58fa	reference_file
PS06_2019_S_bbca	State	d347d05699b14fdc1b5561636f8eb3d8	1961	PS06_2019_S.csv	policy_state12	CSV	Geographic Data	dg.6VTS/277fbbf8-c5b6-4589-a310-618ef78bbbca	reference_file
PS07_2018_S_ab74	State	d1b9fd9565efb16d3950a81223bf12d5	4137	PS07_2018_S.csv	policy_state13	CSV	Geographic Data	dg.6VTS/f3349d27-1831-418a-b1f7-1d511cc2ab74	reference_file
PS08_2019_S_9278	State	a5fd557581a46bffd3977d8775c3a40b	1540	PS08_2019_S.csv	policy_state14	CSV	Geographic Data	dg.6VTS/34f72cf4-4221-405a-a9c1-0c934ae39278	reference_file
PS09_2017_S_2f7a	State	085f21c58be93a7f500295ffbf12fc10	327	PS09_2017_S.csv	policy_state15	CSV	Geographic Data	dg.6VTS/69ae05fc-eff9-48d1-809d-109224142f7a	reference_file
PS11_S_71dd	State	ebf7d8139a57bd31cf4dcc678e01be2f	5802	PS11_S.csv	policy_state16	CSV	Geographic Data	dg.6VTS/4d604e7c-9e68-470e-9c2c-b4ba556171dd	reference_file
